StartTime: 2021-08-03 16:24:18.417,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,24:37.0,0.0313,0.9941,0.1265,3.8452,-1.0986,-1.2817,82.8754,-2.6752,55.025,0
0x50,24:37.0,0.0298,0.9951,0.1235,4.0894,1.0986,-1.2207,82.9578,-2.6367,54.9976,0
0x50,24:37.0,0.0371,0.9966,0.1245,4.2725,2.2583,-1.2207,83.0402,-2.5983,54.9921,0
0x50,24:37.0,0.0381,0.9966,0.126,4.5166,3.54,-2.3193,83.1226,-2.5488,55.0195,0
0x50,24:37.1,0.0425,0.9985,0.1064,4.2114,8.728,-4.8828,83.205,-2.4445,55.1129,0
0x50,24:37.1,0.0591,0.9995,0.1001,3.1128,9.3384,-9.5215,83.2764,-2.2632,55.2338,0
0x50,24:37.1,0.0928,1.0059,0.1177,3.8452,4.7607,-16.2964,83.3533,-1.994,55.2942,0
0x50,24:37.1,0.1133,1.0156,0.1357,7.0801,-2.9297,-26.4282,83.4686,-1.571,55.2173,0
0x50,24:37.1,0.1406,1.0361,0.1201,10.0708,-10.0708,-41.9922,83.6554,-0.9064,54.9756,0
0x50,24:37.2,0.1904,1.0723,0.0933,11.1694,-20.813,-65.918,83.8861,0.1318,54.5032,0
0x50,24:37.2,0.2119,1.1182,0.0757,8.5449,-37.6587,-97.5342,84.0839,1.7029,53.6792,0
0x50,24:37.2,-0.0186,1.1528,0.1362,2.1362,-33.8135,-122.4365,84.1113,3.8837,52.7618,0
0x50,24:37.2,-0.2173,1.0527,0.2275,0.5493,0.7935,-125.2441,84.0399,6.3885,52.3444,0
0x50,24:37.2,0.0874,0.688,0.2344,-2.2583,10.376,-127.1362,83.8861,8.7836,52.4048,0
0x50,24:37.3,0.1045,0.8081,0.396,14.2212,0.4272,-130.7983,83.8806,11.1237,52.4762,0
0x50,24:37.3,-0.4229,1.2002,0.2026,26.4282,-1.4648,-129.0283,84.2102,13.689,52.196,0
0x50,24:37.3,-0.3086,1.0386,-0.0239,19.5923,27.2217,-123.6572,84.7321,16.2323,52.2455,0
0x50,24:37.3,-0.4268,0.7876,-0.1445,20.874,8.9722,-115.5396,85.3308,18.6548,52.0532,0
0x50,24:37.3,-0.377,0.7017,-0.0898,28.6865,-1.8921,-104.248,85.9735,20.8575,51.6193,0
0x50,24:37.4,-0.5415,0.7012,-0.063,40.7104,-20.6909,-89.9048,86.7041,22.8241,50.7733,0
0x50,24:37.4,-0.5288,0.8398,0.0215,48.3398,-28.1982,-69.5801,87.4292,24.3951,49.8285,0
0x50,24:37.4,-0.6738,0.8589,0.0889,45.4102,-22.0337,-53.894,88.1213,25.6696,48.9386,0
0x50,24:37.4,-0.6265,0.7266,0.0127,34.5459,-8.4229,-35.5225,88.786,26.6254,48.2629,0
0x50,24:37.4,-0.6919,0.729,0.002,13.6719,-1.77,-7.9346,89.209,27.0978,47.7301,0
0x50,24:37.5,-0.6777,1.3442,-0.1118,-0.3662,5.6152,15.3809,89.3793,26.944,47.6312,0
0x50,24:37.5,-0.7744,1.2798,-0.2168,-24.4141,22.0947,21.7285,89.3079,26.5704,47.8729,0
0x50,24:37.5,-0.8047,1.3389,-0.3721,-51.8799,52.8564,52.5513,89.0387,25.7135,48.6914,0
0x50,24:37.5,-0.6582,1.8394,-0.4155,-68.2373,75.4395,119.3848,88.5938,23.6426,50.1636,0
0x50,24:37.6,-0.1172,2.4424,-0.292,-70.1904,121.46,200.5615,88.2532,19.9292,52.663,0
