StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,50:04.4,0.2124,1.0552,-0.1997,8.2397,-18.4326,122.9858,100.9753,-6.6632,59.6008,0
0x50,50:04.5,0.1934,1.0444,-0.1387,12.207,-8.8501,121.2158,101.2555,-9.0363,58.8428,0
0x50,50:04.5,0.126,1.0625,-0.1143,15.0757,-2.1973,119.0796,101.5796,-11.3489,58.244,0
0x50,50:04.5,0.1094,1.0723,-0.1206,15.5029,1.1597,114.7461,101.9257,-13.5571,57.7277,0
0x50,50:04.5,0.0259,1.0757,-0.1655,13.0005,5.7373,108.8257,102.2662,-15.6171,57.2552,0
0x50,50:04.5,-0.0571,1.0605,-0.1792,10.6812,4.2114,99.9756,102.5903,-17.4628,56.7554,0
0x50,50:04.5,-0.0659,1.0352,-0.1724,7.9346,-4.3335,89.1724,102.9089,-19.0448,56.1401,0
0x50,50:04.6,-0.0547,0.981,-0.1621,5.249,-12.9395,76.5381,103.2275,-20.3412,55.3766,0
0x50,50:04.6,-0.0601,0.9756,-0.1611,3.479,-9.2773,62.439,103.5132,-21.3464,54.6075,0
0x50,50:04.6,-0.0332,0.9795,-0.1567,1.709,-0.2441,48.0957,103.6945,-22.099,54.0363,0
0x50,50:04.6,-0.0054,0.9482,-0.1973,1.1597,18.7988,18.6157,103.6945,-22.9395,53.7341,0
0x50,50:04.7,0.0107,0.96,-0.2192,0.7324,22.0337,2.9907,103.5956,-22.9724,53.8824,0
0x50,50:04.7,0.0757,0.9287,-0.2144,-1.8921,29.1748,-12.5732,103.3978,-22.7582,54.2285,0
0x50,50:04.7,0.0039,0.9131,-0.1782,-3.479,39.6118,-27.4048,103.0518,-22.2913,54.8273,0
0x50,50:04.7,-0.0278,0.9243,-0.1694,-3.8452,36.8652,-38.8184,102.6453,-21.5442,55.5414,0
0x50,50:04.8,0.0288,0.9263,-0.1807,-4.0894,33.9966,-49.0112,102.2552,-20.5884,56.228,0
0x50,50:04.8,0.4058,0.9141,-0.353,-1.6479,28.7476,-45.5933,101.9641,-19.7095,56.8762,0
0x50,50:04.8,0.54,0.8569,-0.2788,4.3945,13.1226,-31.9824,101.8707,-19.1327,57.3157,0
0x50,50:04.8,0.3018,0.9678,-0.2104,2.8076,0.6714,-34.729,101.8762,-18.5724,57.4585,0
0x50,50:04.8,0.2441,0.8896,-0.2197,3.2959,-4.3335,-33.9355,101.9202,-17.8693,57.4036,0
0x50,50:04.8,0.0601,0.998,-0.1104,2.8687,-5.0049,-37.3535,101.9531,-17.0508,57.2882,0
0x50,50:04.9,0.3276,1.0688,-0.1743,2.9907,-6.8359,-38.7573,101.9586,-16.1993,57.1838,0
0x50,50:05.0,0.2593,1.123,-0.2256,12.207,0.9766,-45.7764,102.063,-15.3479,57.1729,0
0x50,50:05.0,0.1182,1.0591,-0.2773,14.4043,0.4883,-52.9175,102.2882,-14.3262,57.2278,0
0x50,50:05.0,-0.3706,1.3115,-0.2988,19.5313,-3.6011,-64.8193,102.6453,-12.9639,57.1509,0
0x50,50:05.0,0.2026,0.9443,-0.2358,2.5024,-28.8696,-58.7158,102.9254,-11.5302,56.8433,0
0x50,50:05.0,0.1338,0.8594,-0.2837,6.8359,-5.127,-53.772,103.0737,-10.3546,56.6016,0
0x50,50:05.0,0.145,0.9609,-0.2275,10.0708,3.479,-48.2788,103.2385,-9.3439,56.6565,0
0x50,50:05.0,0.1055,0.9385,-0.3208,15.3809,5.7373,-41.5649,103.4802,-8.476,56.7938,0
0x50,50:05.0,0.1309,0.9492,-0.2935,10.437,-6.897,-39.917,103.7659,-7.674,56.7993,0
0x50,50:05.0,0.1099,0.9346,-0.2319,8.3618,-6.5918,-39.6729,103.9691,-6.8719,56.7169,0
0x50,50:05.1,0.1729,0.918,-0.2085,10.8032,4.4556,-40.1001,104.1284,-6.1139,56.7773,0
0x50,50:05.1,0.1011,0.9419,-0.1709,16.4185,19.4092,-41.9922,104.3262,-5.4053,57.1124,0
0x50,50:05.1,-0.0415,0.9941,-0.1763,18.6768,6.1035,-41.1987,104.5898,-4.6198,57.442,0
0x50,50:05.2,-0.0356,1.0605,-0.2207,14.8315,-26.001,-39.3066,104.881,-3.7134,57.3047,0
0x50,50:05.2,0.0776,1.0044,-0.3442,9.4604,-34.79,-38.8184,105.1501,-2.7795,56.7664,0
0x50,50:05.2,0.0757,0.9219,-0.3848,5.6152,-23.3765,-38.3911,105.3809,-1.9116,56.2555,0
0x50,50:05.2,0.0229,0.9761,-0.3862,2.7466,-7.4463,-32.3486,105.5457,-1.1755,55.9863,0
0x50,50:05.2,-0.0127,0.959,-0.3506,-0.6714,3.54,-25.0244,105.6281,-0.6097,55.9424,0
0x50,50:05.2,-0.042,0.9771,-0.2368,-0.9766,7.4463,-21.9727,105.6281,-0.1703,56.0303,0
0x50,50:05.2,0.001,0.98,-0.2183,0.2441,4.6387,-21.9727,105.5896,0.2307,56.1566,0
0x50,50:05.3,-0.0283,0.9478,-0.2495,2.1973,3.479,-22.8882,105.5951,0.6482,56.2445,0
0x50,50:05.3,-0.1113,0.9438,-0.2617,2.2583,-6.0425,-20.5688,105.639,1.1096,56.1896,0
0x50,50:05.3,-0.0742,0.9556,-0.2437,1.9531,-18.5547,-17.5171,105.672,1.593,55.9094,0
0x50,50:05.3,0.041,0.9668,-0.2456,3.3569,-17.8833,-18.5547,105.6995,2.027,55.5524,0
0x50,50:05.3,0.0239,0.9385,-0.2598,6.5918,-6.5308,-22.583,105.7819,2.4445,55.3546,0
0x50,50:05.4,-0.0244,0.9565,-0.2773,7.019,-4.6387,-26.001,105.9192,2.9059,55.2832,0
0x50,50:05.4,-0.0322,0.9722,-0.3374,4.3945,-8.2397,-29.3579,106.051,3.4552,55.2008,0
0x50,50:05.4,-0.0737,0.9561,-0.355,0.1831,-14.4653,-32.8979,106.1334,4.0979,55.025,0
0x50,50:05.4,-0.0396,0.9478,-0.3096,-2.0752,-23.0713,-36.3159,106.1389,4.8505,54.7339,0
0x50,50:05.4,-0.0215,0.9653,-0.2441,-1.8921,-24.5361,-41.4429,106.073,5.6854,54.4098,0
0x50,50:05.5,-0.0005,0.98,-0.2935,-2.1973,-18.6157,-49.0723,106.0071,6.6083,54.1901,0
0x50,50:05.5,-0.0684,0.9663,-0.3711,-5.188,-17.2119,-55.1758,105.9576,7.641,54.0472,0
0x50,50:05.5,-0.1152,0.9771,-0.3799,-9.6436,-20.4468,-57.312,105.8588,8.7836,53.8824,0
0x50,50:05.5,-0.1367,1.0112,-0.3149,-12.3291,-19.7754,-58.0444,105.6665,9.9646,53.7067,0
0x50,50:05.5,-0.1367,1.0645,-0.373,-15.9912,-18.1885,-59.9365,105.4083,11.1566,53.5638,0
0x50,50:05.6,-0.1123,1.124,-0.5859,-19.2871,-30.3345,-61.5234,105.1172,12.3761,53.3112,0
0x50,50:05.6,-0.1035,1.2603,-0.4771,-22.7051,-52.6733,-67.9321,104.6942,13.7329,52.7454,0
0x50,50:05.6,0.063,1.3101,-0.3105,-25.5737,-59.9976,-82.2144,104.057,15.2985,52.0038,0
0x50,50:05.6,0.0601,1.3789,-0.2095,-24.4751,-56.3965,-100.5859,103.3374,17.1222,51.3556,0
0x50,50:05.6,0.0005,1.4233,-0.2446,-26.001,-64.5752,-113.0981,102.5739,19.2371,50.7184,0
0x50,50:05.7,0.0679,1.4771,-0.2495,-30.0293,-87.5854,-118.4082,101.6345,21.5552,49.7681,0
0x50,50:05.7,0.2568,1.4414,-0.3867,-31.189,-115.4175,-123.5962,100.4315,23.9777,48.2684,0
0x50,50:05.7,0.3306,1.3789,-0.5156,-28.8696,-120.6665,-130.7373,99.0912,26.4606,46.3623,0
0x50,50:05.7,0.064,1.4199,-0.373,-38.6963,-96.4355,-139.5264,97.674,29.0479,44.599,0
0x50,50:05.8,0.2144,1.2275,-0.4277,-48.645,-56.3354,-134.5215,96.3171,31.5417,43.4839,0
0x50,50:05.8,-0.1455,1.0186,-0.2397,-34.3628,4.3335,-129.5166,95.5426,33.8489,43.4344,0
0x50,50:05.8,-0.4937,0.9429,-0.311,-20.2637,16.4795,-129.4556,95.4712,36.1945,44.0881,0
0x50,50:05.8,-0.3252,0.6968,-0.1675,-10.6201,-24.4751,-82.8857,95.3833,38.172,44.2639,0
0x50,50:05.8,0.5518,0.502,0.0059,-21.4844,28.1372,20.6909,94.8724,37.9468,44.6429,0
0x50,50:05.9,0.2451,0.4888,0.0195,-3.479,74.2188,52.1851,95.5151,36.3098,46.2195,0
0x50,50:05.9,0.0278,0.5137,-0.0547,4.0283,65.3076,93.1396,96.4874,34.1455,48.0377,0
0x50,50:05.9,-0.0566,0.5264,-0.0962,9.5825,42.9077,138.5498,97.218,31.3495,49.1913,0
0x50,50:06.0,0.0054,0.5708,-0.0732,16.6016,32.2266,178.2837,97.7289,27.8009,49.7461,0
0x50,50:06.0,0.0933,0.6675,-0.0605,27.5269,47.9736,206.4819,98.3221,23.5272,50.2295,0
0x50,50:06.0,-0.0835,0.8276,-0.0723,35.2173,64.3921,227.1729,99.1132,18.8086,50.8832,0
0x50,50:06.0,-0.2114,0.9453,-0.0659,38.6963,65.4297,243.8354,99.9426,13.8647,51.5039,0
0x50,50:06.0,-0.1743,1.0654,-0.0664,36.9873,62.3779,255.188,100.6952,8.7286,51.9489,0
0x50,50:06.0,-0.2002,1.1812,-0.1318,33.5693,66.2842,260.2539,101.3544,3.4662,52.2784,0
0x50,50:06.0,-0.3374,1.3477,-0.2241,29.48,75.0122,264.1602,101.9421,-1.8127,52.5916,0
0x50,50:06.1,-0.3604,1.5103,-0.2305,22.644,63.2324,265.1367,102.4255,-7.0532,52.7618,0
