StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,12:37.0,-0.2925,1.0874,-0.1309,10.8643,30.3955,144.165,98.6298,5.5426,109.1107,0
0x50,12:37.0,-0.2241,1.0967,-0.1533,9.6436,31.189,143.5547,98.8495,2.7301,109.1272,0
0x50,12:37.0,-0.2334,1.0903,-0.1499,9.8877,41.0767,141.7236,99.0527,-0.0714,109.1931,0
0x50,12:37.0,-0.2261,1.0864,-0.1226,9.1553,49.8657,139.2822,99.2285,-2.829,109.4513,0
0x50,12:37.1,-0.1895,1.0898,-0.1143,6.1646,60.5469,136.2305,99.3384,-5.5426,109.8962,0
0x50,12:37.1,-0.1987,1.103,-0.1724,6.2256,80.0781,131.958,99.3494,-8.2123,110.6049,0
0x50,12:37.1,-0.2739,1.0972,-0.1816,7.4463,89.2944,127.0142,99.3054,-10.8105,111.6486,0
0x50,12:37.1,-0.2944,1.1157,-0.1606,2.7466,71.3501,123.23,99.201,-13.2605,112.7637,0
0x50,12:37.1,-0.3037,1.0947,-0.2822,0.4272,61.2183,111.3281,99.0472,-15.5072,113.5767,0
0x50,12:37.2,-0.4258,1.0073,-0.3613,1.77,36.2549,97.5952,99.0033,-17.4353,114.082,0
0x50,12:37.2,-0.5083,1.0122,-0.4014,5.8594,0.7324,80.5054,99.223,-18.924,113.9886,0
0x50,12:37.2,-0.5093,1.0049,-0.4028,3.9673,-40.2832,63.2935,99.7614,-19.9182,113.1427,0
0x50,12:37.2,-0.3936,0.9478,-0.3521,0.4272,-66.1621,46.2646,100.4974,-20.4401,111.5717,0
0x50,12:37.2,-0.2134,0.9341,-0.2715,0.6104,-74.8291,33.5693,101.272,-20.5884,109.6655,0
0x50,12:37.3,-0.0386,0.9917,-0.1646,0.6104,-62.9883,21.8506,101.9476,-20.5499,107.8253,0
0x50,12:37.3,0.3716,1.0527,0.002,-4.8828,-21.1792,11.0474,102.2992,-20.4895,106.5344,0
0x50,12:37.3,0.6582,1.0093,-0.0894,1.709,7.4463,13.0005,102.2223,-20.6763,106.1224,0
0x50,12:37.4,0.4365,1.064,-0.0762,6.5308,26.3672,6.5918,102.1124,-21.0608,106.2213,0
0x50,12:37.4,0.3252,1.0386,-0.1611,4.3335,31.0059,-0.6714,101.9531,-21.2585,106.6772,0
0x50,12:37.4,0.3745,1.0093,-0.2188,2.8687,24.353,-4.2725,101.7828,-21.308,107.1606,0
0x50,12:37.4,0.334,0.9575,-0.1948,0.9155,11.9019,-4.2725,101.6675,-21.2915,107.4683,0
