StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,07:22.4,-0.3252,0.8452,-0.2412,-15.686,-53.3447,-48.4009,101.5796,27.9053,34.2554,0
0x50,07:22.5,-0.3311,0.8838,-0.2476,-14.7705,-44.8608,-54.0161,100.9863,29.0369,33.6182,0
0x50,07:22.5,-0.3452,0.8638,-0.2188,-13.916,-35.3394,-60.9741,100.4974,30.2673,33.2062,0
0x50,07:22.6,-0.2788,0.8726,-0.1523,-13.7939,-27.4048,-65.1245,100.0525,31.4868,33.0084,0
0x50,07:22.6,-0.4756,0.9258,-0.1235,-12.8784,-19.6533,-64.1479,99.668,32.7502,32.9095,0
0x50,07:22.6,-0.5781,0.8887,-0.0698,-12.6343,-15.9302,-58.4717,99.278,33.9478,32.8217,0
0x50,07:22.6,-0.5596,0.7959,-0.0654,-13.7939,-10.7422,-53.833,98.9209,35.0464,32.8162,0
0x50,07:22.6,-0.5586,0.6738,-0.0684,-13.4888,-3.7842,-47.1802,98.6682,36.0406,32.9041,0
0x50,07:22.6,-0.666,0.5796,-0.0386,-11.2915,-8.0566,-38.147,98.3716,36.969,32.7338,0
0x50,07:22.6,-0.811,0.543,-0.0073,-6.7139,-22.0947,-25.6958,97.9431,37.771,32.0636,0
0x50,07:22.6,-0.8857,0.5742,0.019,-6.3477,-40.6494,-17.0898,97.1851,38.4521,30.8661,0
0x50,07:22.7,-0.6401,0.5449,0.0342,-8.728,-39.917,-14.5264,96.3062,38.9685,29.7949,0
0x50,07:22.7,-0.5137,0.438,0.0078,-2.9907,-2.3193,-13.7939,96.1633,39.3805,29.6851,0
0x50,07:22.7,-0.835,0.5356,-0.02,3.2349,13.1226,-10.9253,96.4709,39.7815,29.8608,0
0x50,07:22.7,-1.0093,0.604,0.0166,0.061,-2.4414,-5.8594,96.427,40.1385,29.5752,0
0x50,07:22.7,-0.8887,0.6104,0.0254,-3.7842,-7.3853,-3.0518,96.1798,40.4077,29.2126,0
